model,condition,n,acc,good,paper_cos,repro_cos,corrected_cos
Claude Haiku 4.5,baseline,600,53.5,9.2,0.503,0.503,0.057
GPT-5.4-mini,baseline,600,48.3,68.0,0.06,0.06,-0.033
GPT-5.4-nano,baseline,600,44.2,50.5,0.499,0.499,-0.246
Grok 4.1 Fast,baseline,600,48.8,37.5,-0.229,-0.229,-0.043
DeepSeek v3.2,baseline,600,52.5,5.5,0.264,0.264,0.025
Claude Haiku 4.5,org-ext,600,54.0,34.3,-0.104,-0.104,0.063
GPT-5.4-mini,org-ext,600,49.7,69.0,0.224,0.224,0.207
GPT-5.4-nano,org-ext,600,48.3,38.7,0.076,0.076,-0.056
Grok 4.1 Fast,org-ext,600,52.5,29.8,0.176,0.177,0.076
DeepSeek v3.2,org-ext,600,51.5,16.2,0.164,0.164,0.117
Claude Haiku 4.5,introspective,600,51.8,93.2,0.36,0.36,0.111
GPT-5.4-mini,introspective,600,49.5,95.2,0.219,0.219,-0.082
GPT-5.4-nano,introspective,600,44.8,51.2,-0.256,-0.256,-0.152
DeepSeek v3.2,introspective,599,50.8,79.3,-0.183,-0.184,0.016
