attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.06,57.0,16.0,6.0,18.0,3.0,True,100
installment_rate_pct,2,HIGH,HIGH,3.23,49.0,38.0,0.0,13.0,0.0,True,100
credit_amount,3,HIGH,MEDIUM,1.91,3.0,56.0,4.0,3.0,34.0,False,100
duration_months,4,HIGH,NOT_MENTIONED,0.68,3.0,14.0,7.0,0.0,76.0,False,100
purpose,5,MEDIUM,MEDIUM,2.12,4.0,54.0,11.0,12.0,19.0,True,100
credit_history,6,MEDIUM,HIGH,3.83,83.0,17.0,0.0,0.0,0.0,False,100
savings_account_bonds,7,MEDIUM,HIGH,2.78,40.0,31.0,6.0,13.0,10.0,False,100
employment_since,8,MEDIUM,HIGH,3.39,50.0,45.0,0.0,4.0,1.0,False,100
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,0.81,4.0,15.0,7.0,6.0,68.0,False,100
property,10,MEDIUM,MEDIUM,2.8,30.0,45.0,8.0,9.0,8.0,True,100
age_years,11,MEDIUM,MEDIUM,2.49,14.0,51.0,18.0,4.0,13.0,True,100
personal_status_sex,12,MEDIUM,NOT_MENTIONED,0.63,0.0,10.0,15.0,3.0,72.0,False,100
num_existing_credits,13,LOW,MEDIUM,2.07,9.0,51.0,8.0,2.0,30.0,False,100
housing,14,LOW,HIGH,2.98,41.0,39.0,5.0,7.0,8.0,False,100
foreign_worker,15,LOW,MEDIUM,2.5,21.0,38.0,13.0,26.0,2.0,False,100
other_installment_plans,16,LOW,NOT_MENTIONED,0.53,1.0,11.0,5.0,6.0,77.0,False,100
num_dependents,17,LOW,MEDIUM,1.7,2.0,32.0,30.0,6.0,30.0,False,100
job,18,LOW,MEDIUM,2.57,29.0,46.0,0.0,3.0,22.0,False,100
telephone,19,LOW,NOT_MENTIONED,0.54,1.0,4.0,15.0,8.0,72.0,False,100
present_residence_since,20,LOW,MEDIUM,1.7,4.0,45.0,8.0,3.0,40.0,False,100
