attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.97,97.0,3.0,0.0,0.0,0.0,True,1000
installment_rate_pct,2,HIGH,HIGH,3.76,76.8,22.8,0.0,0.4,0.0,True,1000
credit_amount,3,HIGH,HIGH,3.55,55.2,44.8,0.0,0.0,0.0,True,1000
duration_months,4,HIGH,HIGH,3.67,67.4,32.4,0.2,0.0,0.0,True,1000
purpose,5,MEDIUM,MEDIUM,2.99,2.2,96.1,1.0,0.0,0.7,True,1000
credit_history,6,MEDIUM,MEDIUM,3.3,29.9,70.1,0.0,0.0,0.0,True,1000
savings_account_bonds,7,MEDIUM,MEDIUM,3.02,2.1,97.4,0.5,0.0,0.0,True,1000
employment_since,8,MEDIUM,MEDIUM,3.07,7.6,92.1,0.3,0.0,0.0,True,1000
other_debtors_guarantors,9,MEDIUM,MEDIUM,3.0,1.0,97.7,1.2,0.1,0.0,True,1000
property,10,MEDIUM,MEDIUM,2.96,1.3,93.7,4.9,0.1,0.0,True,1000
age_years,11,MEDIUM,MEDIUM,2.94,0.9,91.8,7.3,0.0,0.0,True,1000
personal_status_sex,12,MEDIUM,MEDIUM,2.79,0.1,80.7,18.1,0.3,0.8,True,1000
num_existing_credits,13,LOW,LOW,1.96,0.0,0.3,95.2,4.4,0.1,True,1000
housing,14,LOW,LOW,2.02,0.1,6.8,88.1,5.0,0.0,True,1000
foreign_worker,15,LOW,LOW,1.82,0.0,0.5,81.1,18.3,0.1,True,1000
other_installment_plans,16,LOW,LOW,1.93,0.0,0.1,93.4,6.3,0.2,True,1000
num_dependents,17,LOW,LOW,1.95,0.0,0.4,94.6,4.5,0.5,True,1000
job,18,LOW,LOW,2.04,0.5,10.6,81.8,7.0,0.1,True,1000
telephone,19,LOW,LOW,1.95,0.0,0.1,94.9,4.6,0.4,True,1000
present_residence_since,20,LOW,LOW,1.96,0.0,0.0,96.5,3.1,0.4,True,1000
