attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.97,97.2,2.8,0.0,0.0,0.0,True,600
installment_rate_pct,2,HIGH,HIGH,3.74,74.8,24.5,0.0,0.7,0.0,True,600
credit_amount,3,HIGH,HIGH,3.55,54.7,45.3,0.0,0.0,0.0,True,600
duration_months,4,HIGH,HIGH,3.66,66.2,33.7,0.2,0.0,0.0,True,600
purpose,5,MEDIUM,MEDIUM,2.99,2.0,96.3,1.0,0.0,0.7,True,600
credit_history,6,MEDIUM,MEDIUM,3.27,27.2,72.8,0.0,0.0,0.0,True,600
savings_account_bonds,7,MEDIUM,MEDIUM,3.01,1.7,97.7,0.7,0.0,0.0,True,600
employment_since,8,MEDIUM,MEDIUM,3.06,6.5,93.2,0.3,0.0,0.0,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,3.0,1.0,97.5,1.5,0.0,0.0,True,600
property,10,MEDIUM,MEDIUM,2.96,0.8,94.0,5.0,0.2,0.0,True,600
age_years,11,MEDIUM,MEDIUM,2.94,0.8,92.7,6.5,0.0,0.0,True,600
personal_status_sex,12,MEDIUM,MEDIUM,2.8,0.2,82.3,16.2,0.2,1.2,True,600
num_existing_credits,13,LOW,LOW,1.96,0.0,0.2,95.5,4.2,0.2,True,600
housing,14,LOW,LOW,2.02,0.2,6.7,88.3,4.8,0.0,True,600
foreign_worker,15,LOW,LOW,1.82,0.0,0.5,81.2,18.3,0.0,True,600
other_installment_plans,16,LOW,LOW,1.94,0.0,0.0,93.7,6.2,0.2,True,600
num_dependents,17,LOW,LOW,1.95,0.0,0.5,94.8,4.2,0.5,True,600
job,18,LOW,LOW,2.05,0.7,10.3,82.2,6.7,0.2,True,600
telephone,19,LOW,LOW,1.95,0.0,0.0,95.5,4.0,0.5,True,600
present_residence_since,20,LOW,LOW,1.96,0.0,0.0,96.5,3.0,0.5,True,600
