attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.82,82.3,17.6,0.0,0.1,0.0,True,1000
installment_rate_pct,2,HIGH,MEDIUM,3.37,42.4,54.4,1.2,1.9,0.1,False,1000
credit_amount,3,HIGH,MEDIUM,3.1,29.2,62.6,2.5,0.4,5.3,False,1000
duration_months,4,HIGH,MEDIUM,3.16,31.5,61.4,2.6,0.3,4.2,False,1000
purpose,5,MEDIUM,MEDIUM,2.81,12.6,71.8,7.3,0.2,8.1,True,1000
credit_history,6,MEDIUM,HIGH,3.68,67.8,32.2,0.0,0.0,0.0,False,1000
savings_account_bonds,7,MEDIUM,MEDIUM,3.39,44.6,51.5,3.0,0.2,0.7,True,1000
employment_since,8,MEDIUM,MEDIUM,3.24,26.0,72.7,0.7,0.1,0.5,True,1000
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.76,8.4,75.1,8.0,0.6,7.9,True,1000
property,10,MEDIUM,MEDIUM,2.72,2.3,74.6,19.0,0.8,3.3,True,1000
age_years,11,MEDIUM,MEDIUM,2.47,1.1,56.1,36.2,1.5,5.1,True,1000
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.28,0.0,23.1,28.6,1.5,46.8,False,1000
num_existing_credits,13,LOW,LOW,1.82,0.6,16.0,64.9,2.2,16.3,True,1000
housing,14,LOW,LOW,1.97,0.7,29.7,50.8,3.7,15.1,True,1000
foreign_worker,15,LOW,LOW,1.78,0.5,11.4,59.4,23.0,5.7,True,1000
other_installment_plans,16,LOW,NOT_MENTIONED,1.09,0.6,12.9,33.9,0.5,52.1,False,1000
num_dependents,17,LOW,LOW,2.05,0.2,26.7,61.2,2.1,9.8,True,1000
job,18,LOW,MEDIUM,2.06,8.4,48.5,13.0,1.0,29.1,False,1000
telephone,19,LOW,LOW,1.2,0.0,0.0,55.9,7.7,36.4,True,1000
present_residence_since,20,LOW,LOW,1.18,0.0,1.2,56.0,1.9,40.9,True,1000
