attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.82,81.8,18.0,0.0,0.2,0.0,True,600
installment_rate_pct,2,HIGH,MEDIUM,3.36,42.0,54.5,1.5,1.8,0.2,False,600
credit_amount,3,HIGH,MEDIUM,3.08,28.5,62.8,2.7,0.2,5.8,False,600
duration_months,4,HIGH,MEDIUM,3.14,30.5,62.7,1.8,0.0,5.0,False,600
purpose,5,MEDIUM,MEDIUM,2.81,12.8,72.3,6.3,0.3,8.2,True,600
credit_history,6,MEDIUM,HIGH,3.64,64.2,35.8,0.0,0.0,0.0,False,600
savings_account_bonds,7,MEDIUM,MEDIUM,3.38,43.3,52.7,3.0,0.3,0.7,True,600
employment_since,8,MEDIUM,MEDIUM,3.23,26.0,72.2,1.2,0.2,0.5,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.75,7.2,76.2,8.7,0.7,7.3,True,600
property,10,MEDIUM,MEDIUM,2.71,2.3,73.3,20.2,1.0,3.2,True,600
age_years,11,MEDIUM,MEDIUM,2.45,1.2,55.2,36.8,1.3,5.5,True,600
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.26,0.0,21.8,29.7,1.3,47.2,False,600
num_existing_credits,13,LOW,LOW,1.81,0.8,13.8,67.2,2.0,16.2,True,600
housing,14,LOW,LOW,2.0,0.7,30.2,51.3,4.0,13.8,True,600
foreign_worker,15,LOW,LOW,1.78,0.5,10.5,61.3,22.3,5.3,True,600
other_installment_plans,16,LOW,NOT_MENTIONED,1.1,0.7,13.3,33.3,0.2,52.5,False,600
num_dependents,17,LOW,LOW,2.04,0.2,26.2,61.3,2.3,10.0,True,600
job,18,LOW,MEDIUM,2.04,8.0,48.3,13.2,1.2,29.3,False,600
telephone,19,LOW,LOW,1.2,0.0,0.0,56.8,6.8,36.3,True,600
present_residence_since,20,LOW,LOW,1.18,0.0,1.0,56.3,1.8,40.8,True,600
