attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.97,97.3,2.7,0.0,0.0,0.0,True,1000
installment_rate_pct,2,HIGH,MEDIUM,3.13,31.8,58.2,1.6,7.9,0.5,False,1000
credit_amount,3,HIGH,MEDIUM,3.24,32.1,62.3,3.7,1.1,0.8,False,1000
duration_months,4,HIGH,MEDIUM,3.23,32.9,61.0,3.9,0.8,1.4,False,1000
purpose,5,MEDIUM,MEDIUM,2.66,3.9,75.5,9.5,5.4,5.7,True,1000
credit_history,6,MEDIUM,MEDIUM,3.24,38.7,54.3,0.0,6.7,0.3,True,1000
savings_account_bonds,7,MEDIUM,MEDIUM,3.34,40.0,56.7,0.7,2.2,0.4,True,1000
employment_since,8,MEDIUM,MEDIUM,3.0,17.0,74.2,1.4,6.9,0.5,True,1000
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.76,4.1,82.3,5.3,2.0,6.3,True,1000
property,10,MEDIUM,MEDIUM,2.91,4.6,86.5,4.9,3.7,0.3,True,1000
age_years,11,MEDIUM,MEDIUM,2.34,0.6,63.1,19.2,3.6,13.5,True,1000
personal_status_sex,12,MEDIUM,MEDIUM,1.98,0.0,53.0,18.4,2.6,26.0,True,1000
num_existing_credits,13,LOW,LOW,1.62,0.7,15.2,54.9,4.0,25.2,True,1000
housing,14,LOW,LOW,1.75,0.6,14.4,57.2,14.8,13.0,True,1000
foreign_worker,15,LOW,LOW,2.08,1.3,29.9,46.2,21.0,1.6,True,1000
other_installment_plans,16,LOW,NOT_MENTIONED,1.0,0.6,8.1,35.7,2.4,53.2,False,1000
num_dependents,17,LOW,LOW,1.83,0.0,27.8,49.0,1.7,21.5,True,1000
job,18,LOW,MEDIUM,2.17,2.8,44.4,28.7,15.6,8.5,False,1000
telephone,19,LOW,LOW,1.54,0.0,0.2,73.2,7.4,19.2,True,1000
present_residence_since,20,LOW,LOW,1.16,0.0,3.9,50.4,3.3,42.4,True,1000
