attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.98,97.8,2.2,0.0,0.0,0.0,True,600
installment_rate_pct,2,HIGH,MEDIUM,3.14,31.3,59.3,1.7,7.0,0.7,False,600
credit_amount,3,HIGH,MEDIUM,3.28,34.7,61.3,2.3,1.0,0.7,False,600
duration_months,4,HIGH,MEDIUM,3.28,35.2,60.7,2.5,0.8,0.8,False,600
purpose,5,MEDIUM,MEDIUM,2.66,5.0,73.5,9.7,6.0,5.8,True,600
credit_history,6,MEDIUM,MEDIUM,3.23,37.2,55.8,0.0,6.7,0.3,True,600
savings_account_bonds,7,MEDIUM,MEDIUM,3.34,37.8,59.7,1.0,1.3,0.2,True,600
employment_since,8,MEDIUM,MEDIUM,3.0,16.2,75.2,1.3,6.7,0.7,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.79,3.7,84.7,4.5,1.5,5.7,True,600
property,10,MEDIUM,MEDIUM,2.92,4.0,88.0,4.8,2.7,0.5,True,600
age_years,11,MEDIUM,MEDIUM,2.37,0.7,65.0,17.8,3.7,12.8,True,600
personal_status_sex,12,MEDIUM,MEDIUM,1.93,0.0,52.2,17.2,2.0,28.7,True,600
num_existing_credits,13,LOW,LOW,1.61,0.5,14.0,56.5,4.2,24.8,True,600
housing,14,LOW,LOW,1.76,0.7,13.0,59.7,15.0,11.7,True,600
foreign_worker,15,LOW,LOW,2.04,0.8,28.3,46.8,22.5,1.5,True,600
other_installment_plans,16,LOW,NOT_MENTIONED,1.06,0.7,8.7,37.5,2.3,50.8,False,600
num_dependents,17,LOW,LOW,1.86,0.0,27.5,51.3,1.3,19.8,True,600
job,18,LOW,MEDIUM,2.16,3.2,42.5,29.7,16.5,8.2,False,600
telephone,19,LOW,LOW,1.51,0.0,0.2,70.8,9.0,20.0,True,600
present_residence_since,20,LOW,LOW,1.18,0.0,4.2,50.8,3.5,41.5,True,600
