attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.86,85.9,14.1,0.0,0.0,0.0,True,1000
installment_rate_pct,2,HIGH,HIGH,3.7,74.5,23.3,0.4,1.2,0.6,True,1000
credit_amount,3,HIGH,HIGH,3.41,61.3,30.1,2.5,0.2,5.9,True,1000
duration_months,4,HIGH,HIGH,3.61,66.5,30.6,1.3,0.2,1.4,True,1000
purpose,5,MEDIUM,MEDIUM,2.93,8.1,83.8,4.5,0.3,3.3,True,1000
credit_history,6,MEDIUM,HIGH,3.86,86.5,13.5,0.0,0.0,0.0,False,1000
savings_account_bonds,7,MEDIUM,MEDIUM,3.0,9.7,85.4,1.9,0.9,2.1,True,1000
employment_since,8,MEDIUM,MEDIUM,3.22,23.4,75.7,0.4,0.4,0.1,True,1000
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.54,3.3,69.5,15.4,1.3,10.5,True,1000
property,10,MEDIUM,MEDIUM,2.82,4.5,81.3,9.8,0.3,4.1,True,1000
age_years,11,MEDIUM,MEDIUM,2.82,2.2,77.8,19.5,0.3,0.2,True,1000
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.59,0.0,33.4,26.2,6.0,34.4,False,1000
num_existing_credits,13,LOW,LOW,2.25,0.4,30.1,64.7,3.8,1.0,True,1000
housing,14,LOW,MEDIUM,2.35,0.9,45.7,41.3,11.8,0.3,False,1000
foreign_worker,15,LOW,DISCOUNTED,1.48,0.0,0.2,47.7,52.0,0.1,False,1000
other_installment_plans,16,LOW,LOW,1.5,0.3,17.6,45.5,5.0,31.6,True,1000
num_dependents,17,LOW,LOW,1.93,0.0,7.5,80.5,9.5,2.5,True,1000
job,18,LOW,MEDIUM,2.53,1.9,59.1,31.8,4.1,3.1,False,1000
telephone,19,LOW,LOW,1.64,0.0,0.0,68.6,27.0,4.4,True,1000
present_residence_since,20,LOW,LOW,1.59,0.0,0.4,71.1,15.7,12.8,True,1000
