attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.87,87.0,13.0,0.0,0.0,0.0,True,600
installment_rate_pct,2,HIGH,HIGH,3.7,75.0,23.0,0.2,1.2,0.7,True,600
credit_amount,3,HIGH,HIGH,3.44,62.5,29.5,2.7,0.2,5.2,True,600
duration_months,4,HIGH,HIGH,3.64,68.8,28.5,1.3,0.0,1.3,True,600
purpose,5,MEDIUM,MEDIUM,2.98,10.2,82.8,4.2,0.3,2.5,True,600
credit_history,6,MEDIUM,HIGH,3.84,84.2,15.8,0.0,0.0,0.0,False,600
savings_account_bonds,7,MEDIUM,MEDIUM,3.02,10.2,86.0,1.5,0.5,1.8,True,600
employment_since,8,MEDIUM,MEDIUM,3.21,22.5,76.7,0.5,0.2,0.2,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.56,3.8,69.3,15.7,1.2,10.0,True,600
property,10,MEDIUM,MEDIUM,2.81,4.5,80.7,10.3,0.5,4.0,True,600
age_years,11,MEDIUM,MEDIUM,2.82,3.0,77.2,19.3,0.3,0.2,True,600
personal_status_sex,12,MEDIUM,MEDIUM,1.62,0.0,35.2,25.3,6.2,33.3,True,600
num_existing_credits,13,LOW,LOW,2.24,0.5,29.3,64.8,4.2,1.2,True,600
housing,14,LOW,MEDIUM,2.35,1.0,45.2,41.7,11.7,0.5,False,600
foreign_worker,15,LOW,DISCOUNTED,1.48,0.0,0.3,47.7,52.0,0.0,False,600
other_installment_plans,16,LOW,LOW,1.5,0.3,17.3,45.8,4.7,31.8,True,600
num_dependents,17,LOW,LOW,1.93,0.0,8.2,80.3,8.2,3.3,True,600
job,18,LOW,MEDIUM,2.51,2.0,59.5,30.0,4.5,4.0,False,600
telephone,19,LOW,LOW,1.64,0.0,0.0,68.7,26.3,5.0,True,600
present_residence_since,20,LOW,LOW,1.61,0.0,0.5,72.2,15.0,12.3,True,600
