attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.9,90.0,10.0,0.0,0.0,0.0,True,10
installment_rate_pct,2,HIGH,MEDIUM,2.9,10.0,80.0,0.0,10.0,0.0,False,10
credit_amount,3,HIGH,MEDIUM,2.7,0.0,90.0,0.0,0.0,10.0,False,10
duration_months,4,HIGH,MEDIUM,2.5,20.0,50.0,10.0,0.0,20.0,False,10
purpose,5,MEDIUM,MEDIUM,2.1,0.0,70.0,0.0,0.0,30.0,True,10
credit_history,6,MEDIUM,HIGH,3.5,50.0,50.0,0.0,0.0,0.0,False,10
savings_account_bonds,7,MEDIUM,HIGH,3.6,70.0,20.0,10.0,0.0,0.0,False,10
employment_since,8,MEDIUM,MEDIUM,3.1,10.0,90.0,0.0,0.0,0.0,True,10
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.5,10.0,70.0,0.0,0.0,20.0,True,10
property,10,MEDIUM,MEDIUM,2.5,10.0,60.0,10.0,10.0,10.0,True,10
age_years,11,MEDIUM,MEDIUM,2.9,30.0,50.0,10.0,0.0,10.0,True,10
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.0,0.0,10.0,30.0,10.0,50.0,False,10
num_existing_credits,13,LOW,MEDIUM,2.4,10.0,60.0,10.0,0.0,20.0,False,10
housing,14,LOW,MEDIUM,2.3,10.0,50.0,20.0,0.0,20.0,False,10
foreign_worker,15,LOW,HIGH,3.7,70.0,30.0,0.0,0.0,0.0,False,10
other_installment_plans,16,LOW,NOT_MENTIONED,1.1,0.0,30.0,10.0,0.0,60.0,False,10
num_dependents,17,LOW,LOW,2.0,20.0,10.0,40.0,10.0,20.0,True,10
job,18,LOW,MEDIUM,2.8,40.0,40.0,0.0,0.0,20.0,False,10
telephone,19,LOW,HIGH,3.5,70.0,10.0,20.0,0.0,0.0,False,10
present_residence_since,20,LOW,MEDIUM,1.7,0.0,50.0,10.0,0.0,40.0,False,10
