attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,NOT_MENTIONED,1.16,10.2,17.0,12.2,0.3,60.3,False,600
installment_rate_pct,2,HIGH,HIGH,3.96,95.5,4.5,0.0,0.0,0.0,True,600
credit_amount,3,HIGH,HIGH,3.95,95.3,4.7,0.0,0.0,0.0,True,600
duration_months,4,HIGH,HIGH,3.94,94.7,5.2,0.2,0.0,0.0,True,600
purpose,5,MEDIUM,NOT_MENTIONED,0.88,0.8,24.5,5.7,0.0,69.0,False,600
credit_history,6,MEDIUM,HIGH,3.61,70.7,25.7,0.5,0.3,2.8,False,600
savings_account_bonds,7,MEDIUM,MEDIUM,2.24,1.0,57.2,6.5,35.3,0.0,True,600
employment_since,8,MEDIUM,MEDIUM,2.59,15.2,57.8,11.7,1.8,13.5,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,3.02,9.2,86.3,3.0,0.2,1.3,True,600
property,10,MEDIUM,LOW,1.66,2.5,24.7,38.2,5.8,28.8,False,600
age_years,11,MEDIUM,MEDIUM,2.99,4.0,93.3,1.7,0.0,1.0,True,600
personal_status_sex,12,MEDIUM,MEDIUM,2.82,0.5,90.8,3.7,0.2,4.8,True,600
num_existing_credits,13,LOW,LOW,1.89,0.5,5.5,76.8,17.0,0.2,True,600
housing,14,LOW,LOW,1.87,0.2,6.5,73.7,19.5,0.2,True,600
foreign_worker,15,LOW,DISCOUNTED,1.36,0.5,5.7,23.2,70.7,0.0,False,600
other_installment_plans,16,LOW,LOW,1.66,0.5,22.3,48.3,0.3,28.5,True,600
num_dependents,17,LOW,LOW,1.88,0.5,5.5,76.8,16.2,1.0,True,600
job,18,LOW,LOW,2.02,0.5,17.0,66.2,16.2,0.2,True,600
telephone,19,LOW,NOT_MENTIONED,0.76,0.0,2.5,34.0,0.8,62.7,False,600
present_residence_since,20,LOW,LOW,1.7,0.2,18.3,56.8,0.2,24.5,True,600
