attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.98,98.5,1.5,0.0,0.0,0.0,True,600
installment_rate_pct,2,HIGH,NOT_MENTIONED,1.27,11.7,25.8,1.2,0.2,61.2,False,600
credit_amount,3,HIGH,HIGH,3.94,94.5,5.5,0.0,0.0,0.0,True,600
duration_months,4,HIGH,HIGH,3.9,89.5,10.5,0.0,0.0,0.0,True,600
purpose,5,MEDIUM,NOT_MENTIONED,0.27,0.0,7.5,2.3,0.0,90.2,False,600
credit_history,6,MEDIUM,MEDIUM,3.19,28.5,66.8,0.0,4.7,0.0,True,600
savings_account_bonds,7,MEDIUM,MEDIUM,2.02,6.7,52.2,9.2,0.0,32.0,True,600
employment_since,8,MEDIUM,MEDIUM,2.42,2.2,67.2,1.2,29.3,0.2,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.97,14.7,73.3,9.0,0.0,3.0,True,600
property,10,MEDIUM,MEDIUM,1.71,5.7,41.2,11.2,2.2,39.8,True,600
age_years,11,MEDIUM,MEDIUM,2.01,1.5,44.7,30.2,0.7,23.0,True,600
personal_status_sex,12,MEDIUM,MEDIUM,2.4,0.2,69.7,14.7,1.2,14.3,True,600
num_existing_credits,13,LOW,LOW,1.64,0.0,8.0,49.0,42.3,0.7,True,600
housing,14,LOW,DISCOUNTED,1.86,0.8,26.7,30.2,42.3,0.0,False,600
foreign_worker,15,LOW,DISCOUNTED,1.51,0.0,4.5,41.8,53.5,0.2,False,600
other_installment_plans,16,LOW,LOW,1.74,0.0,15.0,44.3,40.3,0.3,True,600
num_dependents,17,LOW,NOT_MENTIONED,0.08,0.0,1.2,2.2,0.0,96.7,False,600
job,18,LOW,DISCOUNTED,1.92,0.5,36.2,18.2,45.2,0.0,False,600
telephone,19,LOW,NOT_MENTIONED,0.56,0.0,5.8,19.0,0.0,75.2,False,600
present_residence_since,20,LOW,LOW,1.68,0.0,8.0,52.5,39.3,0.2,True,600
