attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,NOT_MENTIONED,0.76,6.8,11.7,6.3,0.7,74.5,False,600
installment_rate_pct,2,HIGH,HIGH,2.79,39.3,37.7,3.3,2.2,17.5,True,600
credit_amount,3,HIGH,HIGH,3.88,90.7,8.5,0.2,0.0,0.7,True,600
duration_months,4,HIGH,HIGH,3.9,91.2,8.3,0.2,0.0,0.3,True,600
purpose,5,MEDIUM,NOT_MENTIONED,0.94,5.5,19.2,7.0,0.0,68.3,False,600
credit_history,6,MEDIUM,HIGH,3.2,44.8,42.8,0.0,12.2,0.2,False,600
savings_account_bonds,7,MEDIUM,DISCOUNTED,1.84,7.7,26.2,8.5,57.5,0.2,False,600
employment_since,8,MEDIUM,MEDIUM,2.56,18.5,49.5,8.5,16.2,7.3,True,600
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,0.92,2.2,22.2,8.5,0.0,67.2,False,600
property,10,MEDIUM,NOT_MENTIONED,1.02,1.0,15.7,19.2,12.8,51.3,False,600
age_years,11,MEDIUM,NOT_MENTIONED,0.53,2.2,10.5,6.3,0.0,81.0,False,600
personal_status_sex,12,MEDIUM,MEDIUM,2.93,18.0,67.5,9.3,0.2,5.0,True,600
num_existing_credits,13,LOW,DISCOUNTED,1.52,0.0,4.0,43.8,52.0,0.2,False,600
housing,14,LOW,DISCOUNTED,1.67,0.5,11.5,42.8,44.7,0.5,False,600
foreign_worker,15,LOW,MEDIUM,2.05,2.2,41.8,33.7,3.8,18.5,False,600
other_installment_plans,16,LOW,NOT_MENTIONED,1.74,8.5,38.8,11.0,2.0,39.7,False,600
num_dependents,17,LOW,MEDIUM,2.23,7.5,55.3,13.5,0.2,23.5,False,600
job,18,LOW,MEDIUM,2.35,11.3,47.2,13.2,21.3,7.0,False,600
telephone,19,LOW,MEDIUM,2.19,6.2,40.5,35.3,1.8,16.2,False,600
present_residence_since,20,LOW,LOW,1.6,0.0,5.5,52.2,39.2,3.2,True,600
