attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,2.93,56.3,9.4,7.0,26.2,1.1,True,999
installment_rate_pct,2,HIGH,DISCOUNTED,2.39,38.4,9.5,4.3,47.7,0.0,False,999
credit_amount,3,HIGH,LOW,2.27,1.6,42.9,43.5,4.7,7.2,False,999
duration_months,4,HIGH,LOW,2.25,4.0,34.8,49.6,5.4,6.1,False,999
purpose,5,MEDIUM,LOW,2.21,2.5,32.0,54.6,5.5,5.4,False,999
credit_history,6,MEDIUM,HIGH,3.5,77.9,8.0,0.0,14.1,0.0,False,999
savings_account_bonds,7,MEDIUM,HIGH,2.61,36.0,19.4,15.2,28.1,1.2,False,999
employment_since,8,MEDIUM,HIGH,2.91,40.6,33.5,3.0,22.0,0.8,False,999
other_debtors_guarantors,9,MEDIUM,LOW,2.28,9.1,30.0,47.7,5.9,7.2,False,999
property,10,MEDIUM,DISCOUNTED,2.28,20.4,24.5,18.6,35.3,1.1,False,999
age_years,11,MEDIUM,LOW,2.31,12.1,25.7,45.9,13.2,3.0,False,999
personal_status_sex,12,MEDIUM,LOW,1.81,0.6,11.1,68.0,8.9,11.4,False,999
num_existing_credits,13,LOW,HIGH,3.11,41.0,38.0,11.7,9.0,0.2,False,999
housing,14,LOW,DISCOUNTED,2.3,20.9,26.5,15.2,36.0,1.3,False,999
foreign_worker,15,LOW,HIGH,2.75,49.9,11.0,4.5,32.8,1.7,False,999
other_installment_plans,16,LOW,LOW,2.22,11.4,26.8,39.2,17.7,4.8,True,999
num_dependents,17,LOW,LOW,2.04,0.5,18.8,68.8,8.4,3.5,True,999
job,18,LOW,HIGH,2.82,38.2,32.0,3.7,25.9,0.1,False,999
telephone,19,LOW,LOW,2.3,15.4,23.6,38.6,20.6,1.7,True,999
present_residence_since,20,LOW,MEDIUM,2.39,9.9,40.2,29.3,19.6,0.9,False,999
