attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,2.97,56.8,10.3,6.7,25.3,0.8,True,600
installment_rate_pct,2,HIGH,DISCOUNTED,2.38,37.5,10.3,4.5,47.7,0.0,False,600
credit_amount,3,HIGH,LOW,2.29,1.7,42.8,44.3,5.0,6.2,False,600
duration_months,4,HIGH,LOW,2.22,3.7,33.8,50.3,5.3,6.8,False,600
purpose,5,MEDIUM,LOW,2.22,2.5,33.0,54.0,5.0,5.5,False,600
credit_history,6,MEDIUM,HIGH,3.4,74.5,8.3,0.0,17.2,0.0,False,600
savings_account_bonds,7,MEDIUM,HIGH,2.66,38.5,18.5,14.3,27.8,0.8,False,600
employment_since,8,MEDIUM,HIGH,2.98,42.5,34.2,3.2,19.5,0.7,False,600
other_debtors_guarantors,9,MEDIUM,LOW,2.3,9.2,30.5,48.3,5.3,6.7,False,600
property,10,MEDIUM,DISCOUNTED,2.26,20.0,23.3,20.5,35.2,1.0,False,600
age_years,11,MEDIUM,LOW,2.32,13.0,24.2,47.8,11.8,3.2,False,600
personal_status_sex,12,MEDIUM,LOW,1.84,0.8,11.3,69.7,7.7,10.5,False,600
num_existing_credits,13,LOW,HIGH,3.04,39.0,37.3,13.2,10.2,0.3,False,600
housing,14,LOW,DISCOUNTED,2.3,21.5,25.3,16.2,35.2,1.8,False,600
foreign_worker,15,LOW,HIGH,2.78,51.3,10.7,4.3,32.0,1.7,False,600
other_installment_plans,16,LOW,LOW,2.2,11.0,27.2,38.0,18.7,5.2,True,600
num_dependents,17,LOW,LOW,2.08,0.8,19.5,69.3,7.0,3.3,True,600
job,18,LOW,HIGH,2.82,38.8,31.3,3.3,26.3,0.2,False,600
telephone,19,LOW,LOW,2.32,15.7,24.5,38.0,19.7,2.2,True,600
present_residence_since,20,LOW,MEDIUM,2.38,9.5,40.5,29.2,19.8,1.0,False,600
