attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.79,86.3,9.5,1.5,2.5,0.2,True,1000
installment_rate_pct,2,HIGH,MEDIUM,2.73,11.0,67.6,4.6,16.6,0.2,False,1000
credit_amount,3,HIGH,MEDIUM,2.75,8.3,71.6,12.5,1.9,5.7,False,1000
duration_months,4,HIGH,MEDIUM,2.61,12.7,57.6,18.5,0.6,10.6,False,1000
purpose,5,MEDIUM,MEDIUM,2.52,9.7,57.0,19.2,3.4,10.7,True,1000
credit_history,6,MEDIUM,HIGH,3.49,52.1,46.1,0.1,1.7,0.0,False,1000
savings_account_bonds,7,MEDIUM,HIGH,3.67,76.3,18.1,2.5,2.9,0.2,False,1000
employment_since,8,MEDIUM,MEDIUM,3.36,44.0,52.5,0.1,2.3,1.1,True,1000
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.63,5.9,41.3,6.9,1.8,44.1,False,1000
property,10,MEDIUM,MEDIUM,2.54,10.5,59.3,13.2,7.9,9.1,True,1000
age_years,11,MEDIUM,NOT_MENTIONED,1.61,8.0,20.1,29.9,8.6,33.4,False,1000
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.48,1.5,25.4,29.3,7.0,36.8,False,1000
num_existing_credits,13,LOW,MEDIUM,2.75,8.5,71.6,12.4,1.8,5.7,False,1000
housing,14,LOW,MEDIUM,1.8,4.3,44.4,12.6,4.1,34.6,False,1000
foreign_worker,15,LOW,HIGH,3.32,54.6,34.2,2.9,5.2,3.1,False,1000
other_installment_plans,16,LOW,NOT_MENTIONED,1.22,8.2,21.5,11.6,1.7,57.0,False,1000
num_dependents,17,LOW,MEDIUM,2.37,6.3,52.8,24.7,3.8,12.4,False,1000
job,18,LOW,MEDIUM,3.07,30.8,58.9,2.2,2.9,5.2,False,1000
telephone,19,LOW,LOW,1.63,1.6,12.3,57.7,4.7,23.7,True,1000
present_residence_since,20,LOW,MEDIUM,2.09,3.7,46.5,25.8,3.4,20.6,False,1000
