attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.82,86.5,10.7,1.2,1.7,0.0,True,600
installment_rate_pct,2,HIGH,MEDIUM,2.68,9.8,66.8,5.3,17.8,0.2,False,600
credit_amount,3,HIGH,MEDIUM,2.75,8.5,72.2,11.7,1.3,6.3,False,600
duration_months,4,HIGH,MEDIUM,2.61,14.7,54.2,19.7,0.8,10.7,False,600
purpose,5,MEDIUM,MEDIUM,2.55,10.7,58.2,17.2,3.5,10.5,True,600
credit_history,6,MEDIUM,MEDIUM,3.46,48.7,49.7,0.2,1.5,0.0,True,600
savings_account_bonds,7,MEDIUM,HIGH,3.7,78.2,16.7,2.7,2.2,0.3,False,600
employment_since,8,MEDIUM,MEDIUM,3.34,44.2,51.2,0.0,3.5,1.2,True,600
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.62,5.7,41.5,6.3,1.8,44.7,False,600
property,10,MEDIUM,MEDIUM,2.54,11.2,58.0,14.0,7.8,9.0,True,600
age_years,11,MEDIUM,NOT_MENTIONED,1.57,8.3,18.8,29.2,9.2,34.5,False,600
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.49,1.7,25.7,29.3,6.5,36.8,False,600
num_existing_credits,13,LOW,MEDIUM,2.71,7.7,70.3,13.5,2.0,6.5,False,600
housing,14,LOW,MEDIUM,1.84,4.8,45.5,12.0,3.7,34.0,False,600
foreign_worker,15,LOW,HIGH,3.39,56.8,33.8,3.2,3.7,2.5,False,600
other_installment_plans,16,LOW,NOT_MENTIONED,1.24,7.8,22.7,11.5,2.0,56.0,False,600
num_dependents,17,LOW,MEDIUM,2.36,5.8,52.8,25.2,4.0,12.2,False,600
job,18,LOW,MEDIUM,3.07,29.8,59.8,2.2,3.7,4.5,False,600
telephone,19,LOW,LOW,1.61,1.0,12.8,57.2,4.2,24.8,True,600
present_residence_since,20,LOW,MEDIUM,2.01,3.5,42.8,27.3,3.8,22.5,False,600
