attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.81,89.4,6.2,0.4,4.0,0.0,True,999
installment_rate_pct,2,HIGH,MEDIUM,3.05,29.1,58.2,2.0,10.3,0.4,False,999
credit_amount,3,HIGH,MEDIUM,2.41,8.5,59.7,13.1,1.4,17.3,False,999
duration_months,4,HIGH,MEDIUM,2.02,10.4,40.3,19.0,1.0,29.2,False,999
purpose,5,MEDIUM,MEDIUM,2.88,14.3,66.7,13.3,4.2,1.5,True,999
credit_history,6,MEDIUM,MEDIUM,3.38,44.8,51.6,0.0,3.5,0.1,True,999
savings_account_bonds,7,MEDIUM,HIGH,3.75,81.4,14.9,1.2,2.4,0.1,False,999
employment_since,8,MEDIUM,MEDIUM,3.21,37.8,54.9,0.0,4.8,2.5,True,999
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.26,8.3,24.1,8.7,2.7,56.2,False,999
property,10,MEDIUM,MEDIUM,2.79,20.6,56.4,6.1,15.5,1.4,True,999
age_years,11,MEDIUM,NOT_MENTIONED,1.19,6.3,18.6,17.4,3.1,54.6,False,999
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.27,0.8,25.7,21.3,4.3,47.8,False,999
num_existing_credits,13,LOW,MEDIUM,2.7,17.1,62.1,7.0,1.6,12.2,False,999
housing,14,LOW,MEDIUM,2.48,9.6,56.2,11.4,17.9,4.9,False,999
foreign_worker,15,LOW,HIGH,3.47,67.9,22.0,1.6,6.3,2.2,False,999
other_installment_plans,16,LOW,NOT_MENTIONED,1.59,12.2,30.8,7.9,2.3,46.7,False,999
num_dependents,17,LOW,MEDIUM,2.11,4.3,49.3,21.3,2.7,22.3,False,999
job,18,LOW,MEDIUM,3.06,28.2,60.7,0.8,9.5,0.8,False,999
telephone,19,LOW,LOW,2.17,6.1,21.3,61.6,5.8,5.2,True,999
present_residence_since,20,LOW,NOT_MENTIONED,1.53,4.6,28.9,22.5,2.3,41.6,False,999
