attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.85,91.3,5.5,0.3,2.8,0.0,True,599
installment_rate_pct,2,HIGH,MEDIUM,3.03,28.2,58.3,2.3,10.7,0.5,False,599
credit_amount,3,HIGH,MEDIUM,2.42,9.7,59.4,11.7,1.3,17.9,False,599
duration_months,4,HIGH,MEDIUM,2.05,10.7,41.9,17.5,1.2,28.7,False,599
purpose,5,MEDIUM,MEDIUM,2.88,14.7,66.1,13.7,4.0,1.5,True,599
credit_history,6,MEDIUM,MEDIUM,3.35,41.6,55.1,0.0,3.2,0.2,True,599
savings_account_bonds,7,MEDIUM,HIGH,3.8,83.6,14.0,0.8,1.3,0.2,False,599
employment_since,8,MEDIUM,MEDIUM,3.2,38.2,54.1,0.0,5.0,2.7,True,599
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.26,7.2,25.2,9.3,2.7,55.6,False,599
property,10,MEDIUM,MEDIUM,2.81,21.2,56.6,5.7,15.0,1.5,True,599
age_years,11,MEDIUM,NOT_MENTIONED,1.21,6.3,19.5,16.7,3.5,53.9,False,599
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.34,0.7,27.5,21.9,4.8,45.1,False,599
num_existing_credits,13,LOW,MEDIUM,2.66,16.5,61.6,7.0,1.3,13.5,False,599
housing,14,LOW,MEDIUM,2.45,8.7,55.9,11.9,18.5,5.0,False,599
foreign_worker,15,LOW,HIGH,3.53,70.8,20.5,1.5,5.2,2.0,False,599
other_installment_plans,16,LOW,NOT_MENTIONED,1.61,11.5,31.2,9.3,2.7,45.2,False,599
num_dependents,17,LOW,MEDIUM,2.14,4.0,51.1,20.7,3.0,21.2,False,599
job,18,LOW,MEDIUM,3.05,27.9,60.6,0.8,9.8,0.8,False,599
telephone,19,LOW,LOW,2.2,7.0,20.9,62.8,4.2,5.2,True,599
present_residence_since,20,LOW,NOT_MENTIONED,1.5,4.5,28.0,22.7,2.3,42.4,False,599
