attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,MEDIUM,3.04,36.4,47.9,6.3,1.9,7.5,False,998
installment_rate_pct,2,HIGH,HIGH,3.45,62.9,28.4,0.2,8.1,0.4,True,998
credit_amount,3,HIGH,MEDIUM,2.97,36.8,44.7,6.0,4.1,8.4,False,998
duration_months,4,HIGH,MEDIUM,2.63,30.3,40.4,9.2,2.2,17.9,False,998
purpose,5,MEDIUM,MEDIUM,1.87,5.0,35.7,16.8,25.9,16.6,True,998
credit_history,6,MEDIUM,HIGH,3.97,97.2,2.8,0.0,0.0,0.0,False,998
savings_account_bonds,7,MEDIUM,MEDIUM,3.27,35.0,60.5,2.2,1.5,0.8,True,998
employment_since,8,MEDIUM,HIGH,3.44,55.1,40.9,0.1,0.3,3.6,False,998
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.3,7.1,19.6,15.9,10.6,46.7,False,998
property,10,MEDIUM,MEDIUM,2.88,25.6,51.4,12.8,5.7,4.5,True,998
age_years,11,MEDIUM,MEDIUM,2.36,4.5,50.2,26.5,14.4,4.4,True,998
personal_status_sex,12,MEDIUM,DISCOUNTED,1.21,0.0,5.2,26.5,52.3,16.0,False,998
num_existing_credits,13,LOW,MEDIUM,2.55,17.8,43.4,22.9,7.2,8.6,False,998
housing,14,LOW,MEDIUM,3.18,31.5,59.1,6.2,2.1,1.1,False,998
foreign_worker,15,LOW,MEDIUM,2.79,7.5,75.2,6.9,9.7,0.7,False,998
other_installment_plans,16,LOW,MEDIUM,1.99,13.7,36.4,14.8,5.6,29.5,False,998
num_dependents,17,LOW,LOW,1.51,0.1,15.3,43.2,18.3,23.0,True,998
job,18,LOW,HIGH,3.52,58.6,38.1,0.7,1.9,0.7,False,998
telephone,19,LOW,LOW,1.81,0.0,10.2,69.1,12.4,8.2,True,998
present_residence_since,20,LOW,MEDIUM,2.13,2.5,50.7,23.0,5.1,18.6,False,998
