attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,2.55,35.7,29.5,4.0,16.0,14.8,True,600
installment_rate_pct,2,HIGH,HIGH,3.21,49.0,37.0,0.8,12.2,1.0,True,600
credit_amount,3,HIGH,NOT_MENTIONED,1.41,5.5,33.0,9.2,1.5,50.8,False,600
duration_months,4,HIGH,NOT_MENTIONED,1.64,6.2,38.0,12.0,1.8,42.0,False,600
purpose,5,MEDIUM,MEDIUM,1.77,5.5,40.2,14.5,5.8,34.0,True,600
credit_history,6,MEDIUM,HIGH,3.86,87.2,12.2,0.0,0.7,0.0,False,600
savings_account_bonds,7,MEDIUM,HIGH,3.04,45.7,32.7,3.5,16.3,1.8,False,600
employment_since,8,MEDIUM,MEDIUM,3.2,40.5,51.0,0.3,4.7,3.5,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.17,13.8,40.2,18.8,4.0,23.2,True,600
property,10,MEDIUM,MEDIUM,1.93,8.8,40.0,11.5,14.5,25.2,True,600
age_years,11,MEDIUM,MEDIUM,1.7,4.3,32.2,24.2,8.2,31.2,True,600
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.21,0.0,18.5,29.5,6.5,45.5,False,600
num_existing_credits,13,LOW,MEDIUM,2.06,19.0,35.7,11.0,1.2,33.2,False,600
housing,14,LOW,MEDIUM,2.31,12.5,49.0,10.8,12.0,15.7,False,600
foreign_worker,15,LOW,LOW,1.71,2.3,27.3,29.7,20.7,20.0,True,600
other_installment_plans,16,LOW,NOT_MENTIONED,1.56,14.0,28.2,6.7,1.7,49.5,False,600
num_dependents,17,LOW,NOT_MENTIONED,1.29,0.7,25.0,24.3,2.8,47.2,False,600
job,18,LOW,MEDIUM,3.06,38.3,47.8,1.5,6.7,5.7,False,600
telephone,19,LOW,NOT_MENTIONED,0.8,0.0,3.5,32.8,3.8,59.8,False,600
present_residence_since,20,LOW,MEDIUM,2.36,4.7,59.5,17.2,4.7,14.0,False,600
