attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.7,80.8,13.1,2.0,3.0,1.0,True,99
installment_rate_pct,2,HIGH,MEDIUM,2.81,13.1,67.7,6.1,13.1,0.0,False,99
credit_amount,3,HIGH,MEDIUM,2.57,3.0,74.7,8.1,4.0,10.1,False,99
duration_months,4,HIGH,MEDIUM,2.39,12.1,53.5,14.1,2.0,18.2,False,99
purpose,5,MEDIUM,MEDIUM,2.36,5.1,59.6,16.2,5.1,14.1,True,99
credit_history,6,MEDIUM,HIGH,3.52,55.6,42.4,0.0,2.0,0.0,False,99
savings_account_bonds,7,MEDIUM,HIGH,3.53,67.7,24.2,3.0,3.0,2.0,False,99
employment_since,8,MEDIUM,MEDIUM,3.33,40.4,56.6,0.0,2.0,1.0,True,99
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.04,1.0,29.3,5.1,2.0,62.6,False,99
property,10,MEDIUM,MEDIUM,2.38,7.1,57.6,13.1,11.1,11.1,True,99
age_years,11,MEDIUM,NOT_MENTIONED,1.71,8.1,24.2,25.3,15.2,27.3,False,99
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.2,0.0,23.2,20.2,10.1,46.5,False,99
num_existing_credits,13,LOW,MEDIUM,2.78,7.1,78.8,6.1,1.0,7.1,False,99
housing,14,LOW,MEDIUM,1.83,2.0,51.5,5.1,10.1,31.3,False,99
foreign_worker,15,LOW,HIGH,3.18,45.5,40.4,4.0,7.1,3.0,False,99
other_installment_plans,16,LOW,NOT_MENTIONED,0.89,8.1,11.1,10.1,3.0,67.7,False,99
num_dependents,17,LOW,MEDIUM,2.08,3.0,44.4,29.3,4.0,19.2,False,99
job,18,LOW,MEDIUM,2.89,26.3,58.6,2.0,4.0,9.1,False,99
telephone,19,LOW,HIGH,3.55,71.7,16.2,7.1,5.1,0.0,False,99
present_residence_since,20,LOW,MEDIUM,1.92,2.0,48.5,18.2,2.0,29.3,False,99
